method,insample_fit_MAE,insample_PB_pct,oos_mean_MASE,oos_PB_pct
Naive,28.716,16.3,0.957,22.3
SMA,26.107,16.7,0.866,25.4
SES,25.068,3.2,0.835,5.0
Croston,26.059,0.2,1.115,4.5
SBA,25.374,39.4,1.088,16.0
TSB,25.048,10.2,0.847,5.4
ADIDA,24.841,13.6,0.844,8.6
MAPA,26.338,0.3,0.841,12.7
