method,mean_MASE,median_MASE,mean_RMSE,PB_pct,mean_bias,pct_over
Naive,0.957,0.443,34.99,21.5,-0.757,19.4
SMA,0.866,0.403,29.507,23.6,-1.502,23.1
SES,0.835,0.45,28.487,4.4,-2.36,57.6
Croston,1.115,0.737,32.763,3.8,0.533,65.4
SBA,1.088,0.706,32.486,13.8,-2.228,57.7
TSB,0.847,0.512,29.98,4.4,-1.366,63.2
ADIDA,0.844,0.458,28.674,7.6,-2.175,57.4
MAPA,0.841,0.465,29.356,11.2,-3.077,57.7
LightGBM (global),0.868,0.499,29.595,9.7,-2.283,74.1
