class,n,Naive,SMA,SES,Croston,SBA,TSB,ADIDA,MAPA,LightGBM (global)
Smooth,15731,6.4,9.3,3.0,6.4,15.5,4.4,5.6,9.6,39.8
Intermittent,10419,9.9,11.1,3.0,10.8,13.9,5.9,6.3,8.1,31.1
Erratic,1849,8.6,10.1,3.0,4.5,17.1,3.7,4.6,8.4,39.9
Lumpy,2461,9.5,10.0,3.3,8.8,16.0,6.6,4.5,8.5,32.8
