class,n,Naive,SMA,SES,Croston,SBA,TSB,ADIDA,MAPA,LightGBM (global)
Smooth,194,8.0,24.0,5.3,4.5,21.6,4.0,7.9,11.3,13.4
Intermittent,520,25.6,25.1,4.9,4.2,12.3,5.0,7.0,13.2,2.7
Erratic,1173,9.7,15.1,4.4,5.1,20.2,5.9,8.9,12.5,18.2
Lumpy,2397,27.5,27.4,4.1,3.0,10.3,3.6,7.1,10.2,6.7
