test_weeks,Naive,SMA,SES,Croston,SBA,LightGBM,LightGBM_median
13,1.1905800708567673,1.0463837357106938,1.0127839233388765,1.1024388228701423,1.0928836236717656,0.9673446745089758,0.8481969839143445
26,1.163825728868762,1.0311585795199423,1.0002336474057496,1.1547681665399077,1.144536527108759,0.9516654870365523,0.8210749209971935
39,1.1847219439948606,1.0538099541659858,1.0235040523441155,1.2444139408726926,1.2316360939830469,0.9702545660656408,0.812842873907204
