class,n,Naive,SMA,SES,Croston,SBA,TSB,ADIDA,MAPA,LightGBM (global)
Smooth,15731,0.983,0.849,0.826,0.896,0.903,0.832,0.828,0.843,0.79
Intermittent,10419,1.396,1.246,1.206,1.533,1.512,1.225,1.206,1.233,1.165
Erratic,1849,0.873,0.786,0.767,0.843,0.839,0.774,0.767,0.794,0.727
Lumpy,2461,1.264,1.147,1.096,1.327,1.288,1.1,1.099,1.118,1.05
