class,n,Naive,SMA,SES,Croston,SBA,LightGBM (AI)
Smooth,182,7.7,23.1,10.7,16.2,31.9,10.4
Intermittent,445,34.8,30.6,17.1,3.6,11.2,2.7
Erratic,1176,9.5,15.8,15.2,14.8,29.1,15.7
Lumpy,2514,32.8,28.2,13.6,5.0,13.9,6.5
