class,n,Naive,SMA,SES,Croston,SBA,LightGBM (AI)
Smooth,15985,5.5,8.5,7.8,9.4,18.6,50.2
Intermittent,10039,10.3,12.6,9.8,13.2,17.4,36.7
Erratic,1958,9.1,9.3,8.0,8.0,22.4,43.1
Lumpy,2479,10.1,12.0,12.1,9.8,21.5,34.5
