decile,mean_oos_demand,Naive,SMA,SES,Croston,SBA,LightGBM (AI)
1,0.0,46.8,42.9,10.3,0.0,0.0,0.0
2,0.0,47.0,43.5,9.1,0.0,0.5,0.0
3,0.0,46.1,43.8,10.1,0.0,0.0,0.0
4,0.164,40.9,25.1,20.6,0.5,11.1,1.9
5,1.211,19.3,17.5,18.5,6.9,30.1,7.6
6,4.197,16.0,16.0,15.3,9.3,35.5,7.9
7,11.74,10.9,13.7,15.0,14.8,31.0,14.6
8,27.536,8.8,16.9,13.9,15.1,31.3,13.9
9,61.418,10.6,14.1,15.2,15.2,24.8,20.1
10,217.648,9.5,14.8,14.7,18.2,20.8,22.0
