test_weeks,Naive,SMA,SES,Croston,SBA,LightGBM
13,1.2132483973701136,1.0682705931603982,1.03524494639369,1.154889003855639,1.1453348138172013,0.9888702437033989
26,1.1962450577820216,1.0619107453410443,1.0303732434595203,1.2137789051799006,1.2035493060874143,0.9832341917626515
39,1.2161878328082698,1.0828301468188022,1.052084767753654,1.3021124205332848,1.289339282357843,0.9979662371915612
